title,communities,metric,paper_date,communities_name
RandAugment: Practical automated data augmentation with a reduced search space@@@EfficientNet-B8 (RandAugment),1,85.4%,2019-09-30,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Big Transfer (BiT): General Visual Representation Learning@@@BiT-M (ResNet),3,85.39%,2019-12-24,"{'Massachusetts Institute of Technology', 'Google'}"
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-B4),1,85.3%,2019-11-11,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Adversarial Examples Improve Image Recognition@@@AdvProp (EfficientNet-B7),1+2,85.2%,2019-11-21,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
Exploring the Limits of Weakly Supervised Pretraining@@@ResNeXt-101 32x32d,2,85.1%,2018-05-02,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Semi-Supervised Recognition under a Noisy and Fine-grained Dataset@@@ResNet200_vd_26w_4s_ssld,11,85.1%,2020-06-18,set()
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B3,2,85%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
RandAugment: Practical automated data augmentation with a reduced search space@@@EfficientNet-B7 (RandAugment),1,85%,2019-09-30,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Billion-scale semi-supervised learning for image classification@@@ResNeXt-101 32x16d (semi-weakly sup.),2,84.8%,2019-05-02,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
ResNeSt: Split-Attention Networks@@@ResNeSt-269,5,84.5%,2020-04-19,{'Amazon.com'}
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks@@@EfficientNet-B7,1+2,84.4%,2019-05-28,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism@@@GPIPE,1,84.4%,2018-11-16,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Billion-scale semi-supervised learning for image classification@@@ResNeXt-101 32x8d (semi-weakly sup.),2,84.3%,2019-05-02,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
TResNet: High Performance GPU-Dedicated Architecture@@@TResNet-XL,15,84.3%,2020-03-30,set()
LambdaNetworks: Modeling long-range Interactions without Attention@@@LambdaResNet200,1,84.3%,2021-01-01,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Exploring the Limits of Weakly Supervised Pretraining@@@ ResNeXt-101 32×16d,2,84.2%,2018-05-02,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Compounding the Performance Improvements of Assembled Techniques in a Convolutional Neural Network@@@Assemble-ResNet152,47,84.2%,2020-01-17,{'Naver Corporation'}
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-B3),,,,set()
Semi-Supervised Recognition under a Noisy and Fine-grained Dataset@@@Fix_ResNet50_vd_ssld,11,84.0%,2020-06-18,set()
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNetB4,2,84.0%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks@@@EfficientNet-B6,1+2,84%,2019-05-28,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
LambdaNetworks: Modeling long-range Interactions without Attention@@@LambdaResNet152,1,84.0%,2021-01-01,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
Regularized Evolution for Image Classifier Architecture Search@@@AmoebaNet-A,1,83.9%,2018-02-05,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
ResNeSt: Split-Attention Networks@@@ResNeSt-200,,,,set()
Fixing the train-test resolution discrepancy@@@FixPNASNet-5,2,83.7%,2019-06-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B2,2,83.6%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
MultiGrain: a unified image embedding for classes and instances@@@MultiGrain PNASNet (500px),2,83.6%,2019-02-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Billion-scale semi-supervised learning for image classification@@@ResNeXt-101 32x4d (semi-weakly sup.),2,83.4%,2019-05-02,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
"SplitNet: Divide and Co-training@@@SE-ResNeXt-101, 64x4d, S=2(416px)",8,83.34%,2020-11-30,{'Alibaba Group'}
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks@@@EfficientNet-B5,1+2,83.3%,2019-05-28,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
MultiGrain: a unified image embedding for classes and instances@@@MultiGrain PNASNet (450px),2,83.2%,2019-02-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
MultiGrain: a unified image embedding for classes and instances@@@MultiGrain SENet154 (450px),2,83.1%,2019-02-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
MultiGrain: a unified image embedding for classes and instances@@@MultiGrain SENet154 (400px),2,83.0%,2019-02-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Semi-Supervised Recognition under a Noisy and Fine-grained Dataset@@@ResNet50_vd_ssld,11,83.0%,2020-06-18,set()
ResNeSt: Split-Attention Networks@@@ResNeSt-101,5,83.0%,2020-04-19,{'Amazon.com'}
Drop an Octave: Reducing Spatial Redundancy in Convolutional Neural Networks with Octave Convolution@@@Oct-ResNet-152 (SE),10,82.9%,2019-04-10,"{'Beijing Institute of Technology', 'National University of Defense Technology', 'Facebook', 'National University of Singapore'}"
Progressive Neural Architecture Search@@@PNASNet-5,1+2,82.9%,2017-12-02,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
Learning Transferable Architectures for Scalable Image Recognition@@@NASNET-A(6),1,82.7%,2017-07-21,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
MultiGrain: a unified image embedding for classes and instances@@@MultiGrain SENet154 (500px),2,82.7%,2019-02-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
"Harmonic Convolutional Networks based on Discrete Cosine Transform@@@Harm-SE-RNX-101 64x4d (320x320, Mean-Max Pooling)",48,82.66%,2020-01-18,set()
Fixing the train-test resolution discrepancy: FixEfficientNet@@@FixEfficientNet-B1,2,82.6%,2020-03-18,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks@@@EfficientNet-B4,1+2,82.6%,2019-05-28,"{'The Chinese University of Hong Kong', 'Google', 'Cornell University', 'University of Michigan', 'University of Southern California', 'University of Oxford', 'Courant Institute of Mathematical Sciences', 'Microsoft', 'Huazhong University of Science and Technology', 'Tsinghua University', 'University College London', 'National University of Singapore', 'Carnegie Mellon University', 'University of California, Los Angeles', 'University of California, San Diego', 'University of North Carolina at Chapel Hill', ""Xi'an Jiaotong University"", 'Facebook', 'Stanford University', 'Johns Hopkins University', 'University of Cincinnati', 'New York University'}"
MultiGrain: a unified image embedding for classes and instances@@@MultiGrain PNASNet (400px),2,82.6%,2019-02-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Fixing the train-test resolution discrepancy@@@FixResNet-50 Billion,2,82.5%,2019-06-14,"{'The Chinese University of Hong Kong', 'Google', 'Tsinghua University', 'Cornell University', 'National University of Singapore', 'Huazhong University of Science and Technology', ""Xi'an Jiaotong University"", 'Facebook', 'University of California, Los Angeles', 'Johns Hopkins University', 'University of California, San Diego', 'University of Oxford', 'Microsoft'}"
Self-training with Noisy Student improves ImageNet classification@@@NoisyStudent (EfficientNet-B2),1,82.4%,2019-11-11,"{'Google', 'University College London', 'Carnegie Mellon University', 'University of Michigan', 'Stanford University', 'Johns Hopkins University', 'University of Southern California', 'University of Cincinnati', 'University of North Carolina at Chapel Hill', 'New York University', 'Courant Institute of Mathematical Sciences'}"
